::1 - - [20/Dec/2023:06:16:19 +0000] "POST /api/otpauth/generateotp HTTP/1.1" 200 16 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:06:16:48 +0000] "POST /api/otpauth/verifyotp HTTP/1.1" 200 542 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:06:24:07 +0000] "POST /api/owner-auth/addPersonalDetail HTTP/1.1" 404 172 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:06:24:45 +0000] "POST /api/auth-owner/addPersonalDetail HTTP/1.1" 500 42 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:06:24:59 +0000] "POST /api/auth-owner/addPersonalDetail HTTP/1.1" 500 42 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:06:26:17 +0000] "POST /api/auth-owner/addPersonalDetail HTTP/1.1" 500 42 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:06:28:28 +0000] "POST /api/auth-owner/addPersonalDetail HTTP/1.1" 200 82 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:09:57:39 +0000] "POST /api/auth-owner/addBankDetail HTTP/1.1" 404 168 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:09:58:05 +0000] "PUT /api/auth-owner/addBankDetail HTTP/1.1" 200 82 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:00:14 +0000] "GET /api/auth-owner/getCurrentSection HTTP/1.1" 200 286 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:02:10 +0000] "POST /api/auth-owner/adddocuments/driverlicense HTTP/1.1" 200 176 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:04:29 +0000] "GET /api/auth-owner/getownerdocuments HTTP/1.1" 401 38 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:07:02 +0000] "GET /api/auth-owner/getownerdocuments HTTP/1.1" 200 230 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:08:56 +0000] "POST /api/auth-owner/adddocuments/pancard HTTP/1.1" 500 33 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:09:53 +0000] "POST /api/auth-owner/adddocuments/pancard HTTP/1.1" 200 161 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:11:15 +0000] "POST /api/auth-owner/adddocuments/citizenship HTTP/1.1" 200 196 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:15:06 +0000] "POST /api/auth-owner/adddocuments/nationalid HTTP/1.1" 500 54 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:10:16:06 +0000] "POST /api/auth-owner/adddocuments/nationalid HTTP/1.1" 200 170 "-" "PostmanRuntime/7.36.0"
::1 - - [20/Dec/2023:11:13:36 +0000] "GET /graphql HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:39 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:40 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:42 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:44 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:46 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:48 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:50 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:52 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:54 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:56 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:13:58 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:14:00 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:14:02 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::1 - - [20/Dec/2023:11:14:04 +0000] "POST /graphql HTTP/1.1" 200 36389 "http://localhost:8525/graphql" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
